,text,Label
3462,"Premieră: „Anotimpurile”, spectacol de balet pe muzică de  și  ",1
647,"Un cimitir roman cu o vechime de  de ani a fost descoperit în Fâșia Gaza, cea mai importantă descoperire locală din ultimul deceniu …",1
3802,Planeta Uranus: CIUDATA Descoperire Anuntata de catre,1
22,Bună dimineața! 🌞🌹🥰    Ziua de Duminică să îți aducă tot ce e mai frumos și mai bun!    Fericirea este un dar pe care ți-l faci singur!    Să ai momente frumoase de fericire iar în suflet liniște! Duminică frumoasă! 🌞🌹🌞🌹,2
2812,"Răsărit cu ""efect special"" și un  A220-300 . Bună dimineața! :  #sunrise #bucharest #airbaltic #airbus #a220   #avgeek",2
1722,Netflix bere cafea tigari la munca zic ::))) la,2
1859,Unul dintre cele mai frumoase avioane:  #A350-1000XWB.,2
1962,Amendă usturătoare pentru cei care jignesc pe Facebook |  - Mobi,0
2637,Nu sunt hater si nici nu nutresc sentimente negative pt multe chestii dar serviciile  le dispretuiesc.,0
1303,"Oho, eram mic când aveam telefon fix acasă și le făceam asta prietenilor.",1
937,Acest aliment e miraculos! Îți poate curăța aragazul și cuptorul în doar câteva minute …,2
3092,"Hello! Ne pare rau daca am dezamagit! Daca a fost livrata separat, atunci, cel mai probabil, ai facut comanda de la parteneri diferiti. Daca ai neclaritati, ne poti lasa oricand un mesaj privat pe Facebook! Noi suntem acolo! :)",0
1810,A scăzut traficul pe emag mai ceva ca bursele europene.,0
2228,La metro nu mai au bani de hârtie termică si scot facturile la imprimante laser.,0
3056,Cea mai tare personalizare de interior pe care am vazut-o ever si nu spun asta pentru ca este masina mea spun asta pentru ca nu am vazut un model de G Brabus pe scaunele stoc de Opel arata superb combinatia de…,2
717,! Legea 55 prevede purtarea mastii in interior. Decizia ccr se refera la purtatul in 'spatiile deschise' punem si noi mana sa citim cu atentie? =)),1
1039,Cea mai bună rețetă de piure de cartofi. Ingredientul secret care îl face extrem de pufos...,2
2184,va plăti 46 milioane dolari părinților unui copil ucis de căderea unui dulap,0
590,Seara placuta de sambata si noapte linistita pentru tine🍸🙏❄️,2
2684,Si eu cumpar adesea de pe   si chiar consider ca este o porcarie. 5 produse 5 colete 5 date de expediere.,0
517,"Dupa parerea mea, ASUMAREA responsabilitatii este una dintre cele mai bune masuri ale puterii si maturitatii unei persoane.",2
3720,și  – poziții total diferite față de coronavirus,1
1701,#revolutie  : Soc! Nu mai exista hot-dogi la !,0
2564,incurajeaza utilizatorii de smartphone-uri sa ofere putere de procesare cercetarilor stiintifice,1
816,Faptul ca au unde sa alerge este un mare avantaj. Am vazut unul identic crescut in apartament. Il scot de 2/zi afara si doar in weekend in afara orasului la alergat.,2
2229,"Mi s-a părut slab, pierdere de timp. Am renuntat să mai vizionez recomandările .",0
541,"De la Serviciul Salvamont: foarte mulți schiori începători, în partea superioară a masivului Postăvarul...",1
3562,Proiectul de lege a fost înregistrat în ! 🔴 Fii alături de noi și pe canalul de,1
733,In mai putin de o saptamana de la lansarea proiectului.,1
788,Ziua Mondială A Justiţiei Sociale ( … via  muzical,1
1121,şi-a stabilit principalele direcţii de activitate pentru perioada 2022-2026,1
3759,va proiecta o maşină electrică mică în China. Noul model ar fi al şaselea pe care  îl scoate pe piaţă,1
1530,la este o dragoste veche:),2
255,Estonia investește sute de mii de euro în proiecte umanitare pentru locuitorii din estul Ucrainei  #news #stiri #romania,1
209,"Ai mers degeaba la școală dacă n-ai aflat ca pacea miroase a praf de pușcă, face poc și umblă călare pe obuze. …",0
2073,"Azi am ajuns pe DN1 cu 740d xDrive. E fun, că e mare :) cc  #bmw #zapada",2
1960,isi extinde portfoliul de telefoane mobile 3G foarte accesibile,2
2811,"E 3AM.. 2 ore de lucru.. Nissan GT-R, 20% terminat, creion obisbuit(HB) Da, am (re)descoperit creionul.. :)) O sa p...",2
2862,"Faza este că pe Twitter nu prea există o bulă. Cu o anume bulă, a prietenilor, ești mai curând pe Facebook. În fine, treaba ei.",1
548,"bravooo, asa sper sa fiu si eu la bannerul lui raiden",2
3205,"📷 Cântăm mai des prin emisiuni TV, dacă concertele sunt interzise, ce sa facem..?! important e să nu pierdem starea de spirit, e o furtuna mai lungă dar va trece și asta! Muzica e hrană pentru suflet. 🎶🎶🎶🙌🏻 (at Neata Cu   -...",1
2107,lanseaza doua noi smartphone-uri Dual Core de buget: A4 You si A5 Smiley,1
3318,"🔵Proiect de lege pentru producătorii români, depus de  în 🔵",1
2753,împlinește astăzi 11 ani de existență și oferă cu această ocazie super-reduceri la cele mai dorite produse:...,2
2485,) va descurcati chiar bine! Va vizitez destul de des ca ati pus magazinul fix in drumul meu,2
3467,"elimină , în sferturile UCL și se califică în semifinalele",1
3035,"Mi-am luat țeapă azi. Am fost undeva și am uitat să-mi iau masca de acasă. Dacă nu avem mască cine știe cine vine si amenda e mare. am găsit la o farmacie, la  lei. Rotunjit la 4 lei. Nevoia necesită.",0
2938,dupa ce si-a strans banutii constiincios si-a cumparat un bmw din bulgaria si a descoperit cum functioneaza claxonul cand trece pe langa o fata pe strada,0
1510,Bună Pizza fac ăştia :) <|EMAIL|> Ursus),2
803,Polo pe apă renaște în România! Fetele și băieții se califică simultan la Europene …,1
2351,Azi ne-am mutat biroul pe drum :) #roadtrip #funwork #renault #arval #ontheroadagain …,2
3217,"#Fotbal:  ,  ,  , calificate în semifinalele Europa League",1
3837,Ziua Indragostitilor – Tarta cu capsuni si frisca,1
1670,Acum se explică de ce au scăzut actiunile la .,0
2725,"Campanie  - 20% voucher cadou la TV-urile Samsung gama 2013: Până pe 4 august 2013,  vine cu ofert...",2
419,Maximizați utilizarea produselor de îngrijire a pielii - …,1
672,"Evaluarea Națională de la clasa a VIII-a: Sportul ar putea fi probă, potrivit unui proiect de lege",1
172,Am înțeles că acum s a îndreptat către box,1
1247,nu mi-au plăcut ultimii 17 ani din viata mea cum dau reset …,0
1268,"VIDEO| Complexul balnear din Ocna Mureș.  : „Este gata, mai lucrăm la finisaje”. Câte persoane va angaja, după deschidere",1
2068,anunta o investitie de cercetare in cadrul unui proiect cofinantat de,1
1412,Coada vietii <|EMAIL|>,0
922,Arată delicios! Si eu tot la cuptor le fac😊,2
2106,"a deschis primul sau Customer Service Center, in centrul Bucurestiului",1
75,🌈🙏⭐din⛅ă vă încărcați cu energie pozitivă pentru săptămâna următoare!🙏☀️⭐🌟⭐☀️🍀,2
1976,mai repede ajung de pe amazon de sau uk. Cam maxim o saptamana :),2
968,"Știri: „Șevaletul” de  Traista, în premieră la teatrul Dramaturgilor  (6 februarie 2022, București) … via  #teatru",1
3897,"Un vin bun după o masă bună, nu?! Preferabil să fie din stejar. :)))",2
1668,". Niciodată, in niciun caz, sub niciun motiv.",0
2402,"Vechimea poate fi și romantică, frumoasă... #hotel #continental #openyourcity #heineken …",2
2148,"După 7 ani de pierderi,  anunţă un profit de  milioane lei pentru 2019  via",2
1060,"Eu i-am comandat mamei prin  si totul a fost ok, dar a durat o săptămână",2
63,Tramvaiele 16 şi 36 din București au un traseu mai scurt duminică. Pe traseul restricţionat a fost introdus autobuzul 636,1
2294,Aurică fură din  ( gros ... “ depinde dacă ai coaiele prea subțiri !!! “ ) non stop,0
1398,Foameee   Sun Plaza,2
560,Trenduri economice: Ce se întâmplă în Canada? …,1
1796,Lansare noua gamă de televizoare LG #LGTV2015  Events,2
493,"Viața e ca un film,tu ești și regizolul dar și actorul. Așa că creează-ți un film încât lumea să dorească un autograf de la tine.",2
275,"Eu ti-am zis ca esti prost informat, tot ce se intampla cu banii este public (stii? Suntem pe blockchain 👀) .",0
1256,E mata aia curva care am fututo eu în gura,0
2918,"Cauți rochii din bumbac?  Ai căutat rochii din bumbac. La , ești liber să alegi din milioane de produse și branduri de top la prețuri avantajoase ⭐.",2
3200,Fotbal:  # - Riscul excluderii României din circuitul #EURO2020 a fost eliminat,1
3330,"este ministru al Sănătății, apoi prim-ministru. Este convocată o ședință de",1
427,"ne-a chemat pe noi bărbații să întemei familii pentru care să fim gata să ne dăm viața cum și-a dat-o El pentru Biserică, dar unii azi nu își dau nici singuri ciorapii jos din picioare și nici ciorba nu și-o încălzesc, ce să mai vorbim de viață.",0
3751,Ceasurile 21 trecute fix 🕰 Sateliții lu  tre să fie acuma pe la Titu...,1
2358,<|EMAIL|> a comandat în vara anului 12 avioane  #737MAX 8 însă comanda a fost redusă la 8 avioane.,1
185,Iubire tu ești toată bogăția mea te iubesc și te prețuiesc foarte mult 💕💕💕💕🥰🥰🥰🥰,2
2697,Reclame idioate la IE9 . Ar trebui să forțeze #microsoft updateul browserului lor cumva #cluj #goldentulip,0
205,"Dacă am strânge de pe întreg pământul verighetele dăruite cu atât de multă dragoste, dar care au fost scoase cu atât de multă ură am aduna munți și nu câteva lăzi. Cel mai dureros este când aud: “Noi dormim separat!”; “Noi avem banii separat!”; “Noi ne rugăm separat!”;”",0
1813,Clonare de carduri la banca transilvania in alba iulia,0
3098,"De ce nu pot sa semnalez o problema dintre aplicația My Enel ? Doar eu nu am curent de pe strada ca e picata siguranta de la tabloul principal si nu am unde sa semnalez problema. Si nu, nu la telefon pentru ca nu răspunde nimeni..",0
2691,"Distribuțiile , campioane.  de clienți vor avea contoare inteligente până la finele anului, investiții de",2
1997,Câte figuri in cap au femeile astea de la  deja m-am saturat de ele,0
3116,"Buna seara, Vreau sa va anunt ca fac plingere impotriva voastra deoarece cu toate rugamintile mele si telefoanele date din Italia sa veniti sa reparati si sa reglati ruterul deoarece nu era niciodata semnal, voi nu ati respectat contractu",0
3134,"Există pariuri care pot dura ani buni.  # s-a născut la 1 iulie 2003. La 1 iulie 2020, ieri,  a devenit compania auto cu cea mai mare valoare de piață din lume, aproape 210 miliarde de dolari, depășind #. În mai puține cuvinte “Tesla este noul iPhone”",2
2783,Daca eram pe facebook si nu eram blocata poate puneam lucruri frumoase asa raspund atacurilor bolsevice comuniste .,0
3088,"<|EMAIL|> le mulțumește angajaților într-un mod atipic, vopsind unul din cele 101 -uri A321 din flotă într-un livery special. În plus, compania aeriană le va oferi acestora în acest an bonusuri în valoare totală de  miliarde de dolari.",2
1254,Bitcoin pe 4 ore. Și zonele mele pentru el. Deocamdată tot Short pare.,1
1370,"O clinică de fertilizare din SUA a fost dată în judecată de părinții unei fete de 30 de ani, după ce au aflat că tatăl ei este altul, de fapt...",1
3607,"provocare pentru  Firea: ""Trei dezbateri electorale, fata in fata, pe teren neutru, in ultima saptamana de campanie""",1
1716,"""hai la muncă pentru că este frumos"" #tooearly  Technologie…",2
730,"gol fabulos, din foarfecă, în  –  1-1! Puşcaş, primul gol după revenirea în Italia!  – , derby-ul zilei …",1
1872,Ce frumos evoluează magazinul ăsta. :) (at  Showroom in București),2
1446,Cu fratele Ml-eu :D <|EMAIL|> Hut),2
1854,Poate cel mai frumos hotel din Sibiu! <|EMAIL|>  ),2
1129,Fericirea înseamnă să îți iasă parcarea laterală din 3 mișcări,2
381,mam ridicat pentru twice degeaba ca era doar reclama scurta naspalaii …,0
645,Iti dau ceva de calitate dar nu știu de unde eș adresa ceva  trimit pe curier ...,1
105,"De asemenea, mă bucur să te cunosc, te iubesc...😍 …",2
478,"Românii se gândesc din nou la vacanţe, după doi ani de pandemie. Pakistan, Ghana sau Benin, printre cele mai exotice destinaţii  #stiri #romania #Observator",1
3248,Au început lucrările la clădirea  din Mănăştur,1
1824,Castigatorul concursului Canon de pe Facebook #eos25ani,2
795,"Prima data app EJobs, ii faci un CV frumos și sa aplice. Daca are și studii superioare sa intre pe siteuri-le oficiale sa caute și în administrativ.",1
1876,In mars spre palatul cotroceni. am blocat traficul in oras,0
1843,a lansat primul smartphone cu touch pen din portofoliu,2
89,"I am a fucking idiot. Cred că nu există unul mai mare pe toată planeta… noapte buna, wherever you are.",0
2175,"O zi cu tine ,un zâmbet ce durează o eternitate #R mina_stefania 's Virtuţii",2
2690,CRAZY Weekend: Zilele ofertelor tari la . Reduceri de până la 75%:  oferă pe durata acestui weekend (2...,2
2898,dar nu vreau nicidecum sa le dezactivez pentru ca or fi utile. Vreau doar sa se opreasca din atatea teste tampite...multumesc oricum,1
908,"In Canada copiii sunt constienti, nu mai vor masca, copiii nostri sunt indoctrinati!",0
1836,Fie și numai pentru discutia iscata si merita inițiativa,2
876,"Dacă e sau nu e ziua ta astăzi, La Mulți Ani! O zi frumoasă și adu-ți aminte unde e fericirea!",2
3437,Parca se numea laptenis. Aveam centura neagra la fotbal.  Acum sunt profesor în altceva,1
3347,"Deși este senator,  Firea a renunțat definitiv la munca din parlament",1
1467,Cancer la pungă.  Donald's Romană,0
78,"🌤️O dimineață bună și o zi liniștită și relaxantă,să fiți pregătiți pentru săptămâna ce vine!🍀",2
3394,() afirmă că în  se discută despre posibilitatea ca părinții care refuză să-și vaccineze copiii să fie decăzuți din drepturi. Ce spune despre vaccinarea adulților,1
230,de ce trebuie boxa aia portabilă să zică acum cu vocea aia bărbătească că nu mai are baterie?? doar închide-te și gata.,0
2494,"Placerea de a conduce! #bmw #joy #carsofiasi #iasi #bmwz4 #sdrive20i #romania #z4 #bavaria ,…",2
1324,"Temperatura e 1°C, presiunea e 764mmHg, vânt din direcție variabilă cu 2km/h; umiditate 80%.",1
1470,Nici aici nu au brazi... <|EMAIL|>,0
311,"Aaaaaa, da, inclusiv la culcare. In apararea mea, e groaznic de frig in casa. 😂",0
1357,"Suflet frumos  , iubesc melodiile tale, iubesc felul în care dai viață viori tale 🎻🎼🎤♥️🤗 …",2
2149,era să mă calce o mașină în parcare la Cora. ce moarte penibilă aș fi avut..,0
2088,Trei fotografii pe care n-ar trebui să le publici niciodată pe Facebook,0
1068,Bravo! Va ținem pumnii strânși și... sa ne vedem in Franța in 2023!!!,2
597,"#  Hai, dragă , întoarce-te.  Te aștept să revii, frumoaso.  Cea mai bună dintre toate. 👍😘🙏🙏😘",2
2240,E nu-stiu-cata oara cand mi se confirma ca  e cea mai tare banca de la noi :) GG,2
533,Hei un geniu de fiecare data arata  tare omul.,2
274,s-a rupt lantuull de iubireee si a-ncepuutt a ruginiiiiii,0
1432,"Frumos, civilizat",2
1161,"intr o zi,cand vrea izabela,te luam si pe tine la plimbare,o plimbare in parc,ca in famie",1
952,"este a 3-a echipă care își asigură prezența la ROPL Stars!  În meciul decisiv aceștia au trecut de colegii lor de la  cu scorul de 2-0 (16-10 Mirage, 16-2 Inferno). Felicitări 👏🏻",2
3771,a cerut petru  cel mai mare buget din ultimele decenii,1
260,COVID-19: În Transnistria vor fi ridicate o parte din restricții …,1
2911,"Huawei EMUI 11 va sosi în trimestrul 3 al acestui an, fiind bazat pe Android 11; Continuă dezvoltarea tehnologiei de colaborare multi-screen",2
525,”Secretul fericirii este libertatea. Iar secretul libertății este curajul.”,2
2262,"Un bmw si un cayenne s-au alergat, s-au lovit si-au blocat o intersectie in sibiu",0
3147,Recent am vazut un anunt pe un grup de facebook unde se fac angajări. Anunt la o cafenea în bucurești. Salariu 1600+bonuri. Comentarii? Ca isi bat joc patronii cu salariile astea. Bai primatelor daca v-ati angaja toti poate si salariile ar crește. Oameni putini salarii mici.,0
2367,"Adobe o suge rău, Flash nu este disponibil nici pentru iexplorerul de windows de pe Lumia",0
1057,Din păcate cam toți oamenii care lucrează în zona aia de mkt și reclame au exact aceeași gândire: „dar el nu a spus nimic clar pe subiectul ăsta!”. Ceea ce e o minciună - în fiecare zi în care încă nu a divorțat de S,0
1050,Imi vine sa ma dau cu capul de toti peretii nu mai pot,0
3788,"Cei mici găsesc pe site-ul  pentru copii “o colecție imensă de puzzle-uri, cărți de ️colorat, labirinturi, jocuri educative și multe altele”.",1
404,Record mondial: A fost descoperită cea mai mare căpșună din lume. Vezi cât cântărește …,1
1828,Mâine mă bat cu pensionarii la Cora pe topuri de hârtie.,0
2713,"Păi a fost înregistrat. A mers până azi, când mi-a refuzat parola și m-a obligat să aleg una din 5 cifre...",0
1819,Hopa.  permite comentariu negative. Sau nu le-au vazut?,0
3477,"Îmi plac mult unghiile lungi, dar nici nu vreau sa mor de foame. Deja devine greu și la tastat. Cred ca am sa le mai scurtez puțin... 🥲 Nu știu cum stau alte femei cu unghiile mai mari.",1
3195,Tu ești pe mai multe că mine ! Eu înafara voastră nu caut comunicare cu  Sint cu ochii după știri de tot  nu mi ajunge timpul  că am neglijat mult timp lucruri importante pe aici..,1
2809,"imi place tare noul screen de balanta de la atm-urile cu ecran mare. bravo! haideti si cu restul, haideti ca se poate!",2
346,A fost publicat ghidul consolidat privind granturile de investiții de 358 milioane euro pentru IMM-uri …,1
3544,#Fotbal:  ''a confirmat pe deplin'' Roma printre oraşele gazdă ale EURO 2020,1
3731,"Compania , deținută de miliardarul  , vine în România și face angajări",1
716,"La mașini se poate, cu siguranță vor câștiga mai mult. Decât sa vândă mașina o singura data, pot deveni pe lângă producători și vânzători de mana a doua. Asa ca o idee. Iar în cazul imobilelor sunt și acolo soluții doar ca implica chestiuni legale și reglementari dar se poate.",1
1110,"Mumia,asta,nu se lasa,frate. Cred ca ajunge sa-i moara fii si nepotii si apoi pleaca si hoasca asta.",0
3266,"adică ceasuri cu cuc, pentru bărbați brutari... brutali",1
3265,Cauta produsele atat pentru femei cat si pentru barbati cu buline pe  in acest weekend si le poti cumpara cu o reducere de 20%.,1
60,„S-a vrut depresia. Sistemul nervos să fie distrus”...,0
2682,la 20 de ani. Reduceri de 20% la toate produsele existente:  împlinește mâine 20 de ani de existență....,2
659,eliberează abonamentele de călătorie cu facilităţi (TABEL) – Monitorul de  …,1
1143,"Mai nașpa cu Doina  e ca, deși era evident cine e insul, încerca să ne convingă de C P  că ar fi bine știe ce lumină...",0
286,Esti cea mai adevarata femeie care am văzut-o vreodată sincer,2
2670,"este lider în protejarea browserelor web Internet Explorer , Firefox , Chrome , Opera și Safari împo...",2
3162,Noi detalii despre incidentul rasist care a încins spiritele în campionatul de fotbal al Spaniei,1
2567,"Ba , puteți avea angajați mai de cacat? Încercați să depășiți ceva record? <|EMAIL|> in Cluj-Napoca, Cluj)",0
495,#Beijing2022 #JO2022 - Schi fond: A treia medalie de aur pentru norvegianca  #Johaug …,1
92,Mișto cuplu prin câteva filme. #NopțiÎnRodanthe …,2
2924,"Posted withrepost •  A spus cineva Pumpkin Spice Latte? Exact, s-a întors! Începând de astăzi îl găsești în cafenelele . #SimteGustulToamnei -Napoca",2
3156,"Doi bărbați care au răpit o tânără de pe stradă, în Buzău, au fost prinși la Mizil",1
714,"a spus în 2010 că peste 20 de ani, rețeaua Bitcoin fie va avea un volum foarte mare, fie unul insemnificativ. Astăzi este foarte clar cum va arăta viitorul.",1
1954,Un inceput de zi cu mult soare in #Bucuresti  Hotel Continental,2
1653,"Mi-am luat si eu 2, ca erau la reducere la .",2
2585,Salutare! Pentru inchiderea contului este necesar sa te prezint in Office cu cartea de identitate.,1
1316,"Să te ridici când toți au căzut, asta înseamnă să lupți alături de .",1
3328,Fotbal: Arbitrul  # face istorie în Anglia,1
773,"Nu,chiar nu e,cel putin in cazul de  e super misto,am facut o galagie de bani cu el.😀",2
121,"PS  Ii doare in  aduc,din China,cite 17 Containere,de compot de anannas si vind la el,5 ani,ca nu se vinde mult si e posibil,ca si cumparatorii,sa fi aflat,pe pielea lor,cit este de toxic,anannasul la cutie de tabla.Niciodata nu mai cumpar,nici compot,nici prajituri",0
1797,Multumim  pentru noua masinuta. BMW i3 ruleaza fiiiin.,2
1239,crd ca restul pahchetului imi vine sa vomit,0
1762,Cine este românul care l-a interzis pe  pe Facebook,1
2855,Ieri am cumparat Fifa 16 din  si nu are Key code si cand m-am logat pe Origin n-am primit mail cu key code ce trebuie sa fac?,2
2461,#romaniiautalent toți la preselectie au fost mai buni. Ii strica astia de la # când ii iau...,0
1865,"Nu credeam ca se uita cnv , si da ee din HM , nui dragut ?",2
1158,Destul de trist ca se umple de shituri pe Elrond...,0
70,"Am vazut ca nu-si asuma nici o afirmatie din acel interviu, au ocolit toate intrebarile si nu au putut sa raspunda la cea mai simpla intrebare : ce scrie in roadmap? Voi adresa maine o serie de intrebari simple, refuzul de a raspunde va intari ideea de teapa.",0
1957,Aveți o problemă cu  zilele astea? Sau doar la mine face figuri?,0
1177,"Justiției boicotează inițiativa cetățenilor, iar Președin...  via  Reținem: Toate guvernările țin Poporul în întuneric.",0
3523,Ziua pianului – ora de muzica si un pian online,1
1170,sami bag pila in progresiile lui geometrice si aritmericw si pula mea ca nu inteleg nimix,0
1710,Raionul de bere. Ce se sfinteste maine? <|EMAIL|> [pic],0
2851,nu si a mai batut nimeni joc de mine in viata mea cum si au batut music channel si digi in seara asta PA ASTA E BATAIE DE JOC,0
398,"Categoria [Fripturi], … #food #recipe #oretetalafix #poftabuna",1
3798,greșește prognoza din ziua lansării  Orice român: telefonul îmi arată săptămâna viitoare vreme bună,1
315,"Dreptei îi e frică de imigranți, evrei și LGBT. Stânga pupă în cur Rusia și China. Politica e foarte nasoală de ambele părți. Poate acest domeniu nu e pentru mine.",0
920,Foarte frumoasă ieșit prințesă te sărut 😘😘😘😘😘😘,2
3625,"m-a sunat mai înainte un bun prieten și mi-a spus, nu neapărat speriat, ci mai degrabă încurcat de situație, că a visat cu dna  . sigur, un vis mai degrabă neutru, dar orișicât :)",1
2575,Limuzina așteaptă la scară. #BMW #7series #luxurysedan #drivingluxury #luxurysaloon #luxuryclass…,1
1523,Cel mai pustiu județ pe Facebook,0
3159,"Au pus la cale o orgie dar au ramas si fara bani, si cu poftele sexuale nesatisfacute. Aventuri penale cu doi soti si cinci barbati",1
890,Ma bucur mult sunt sigura xa isi va reveni doar răbdare și încredere în  ! Multa sănătate mamei tale și ție  ! 🙏🙏🙏🙏❤❤❤❤❤,2
268,”Acolo a izbucnit un conflict care a fost gestionat greșit”. …,0
319,professor cu multa iubire pt noi toti va iubesc mult,2
1688,Aşteptând să vină  să ne încânte :) <|EMAIL|> 4) [pic],2
883,"Scandal în  – Echipa  a convocat , duminică, pentru a aproba publicarea înregistrării în care  a ameninţat cu demisia /  afirmă că, statutar, şedinţa ar putea avea loc cel mai devreme luni seară, dar nu se opune",0
